trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.94}",30,0,-148.97982990230153,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8899999999999999}",30,0,-154.93291855627638,"{0: 21, 1: 0, 2: 4, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,11,-14.215976121595098,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7899999999999998}",25,0,-99.3136271294497,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-98.79212869260223,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6899999999999997}",25,0,-180.17570034923742,"{0: 14, 1: 3, 2: 2, 3: 4, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6399999999999997}",30,0,-98.69753120265356,"{0: 24, 1: 0, 2: 2, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,0,-52.28708118409165,"{0: 16, 1: 6, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5399999999999996}",30,8,-67.95634151401754,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4899999999999996}",20,0,-62.456077573069564,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4399999999999996}",20,0,6.480432777362969,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.3899999999999996}",20,0,-88.04598840994159,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.33999999999999964}",20,0,-43.37400250920281,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.28999999999999965}",30,0,-195.85970757859783,"{0: 20, 1: 0, 2: 4, 3: 3, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.23999999999999966}",20,7,-160.66077669382318,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 4}",1
16,False,"{'a': 0.5, 'e': 0.18999999999999967}",20,0,-13.40834321666143,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.13999999999999968}",25,0,-99.45144958298015,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.08999999999999968}",30,13,-196.27916797641285,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 5}",1
19,False,"{'a': 0.5, 'e': 0.039999999999999675}",25,0,-18.513299306218883,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -0.010000000000000328}",25,1,-64.57658213345714,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",25,16,-56.953478643411344,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",30,0,-55.749897186305056,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,6,20.204966444156238,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,0,-65.58872165545822,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,13,-44.418984169241696,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,11,4.5743122171957085,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-36.511877790888164,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,11,-35.92828217290863,"{0: 16, 1: 0, 2: 0, 3: 3, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-57.38549390288245,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",30,5,-16.582117262301356,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",1
