trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.9999980000006666}",30,0,-106.17713556756964,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.9999920000106667}",25,0,-40.85895931936102,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.002, 'e': 0.999982000054}",25,0,-122.83578689343524,"{0: 17, 1: 1, 2: 2, 3: 4, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.9999680001706663}",25,20,7.30245291695881,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.002, 'e': 0.9999500004166653}",30,0,-179.2836101812683,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.002, 'e': 0.9999280008639958}",20,0,-36.92764232806529,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.002, 'e': 0.9999020016006562}",20,0,-85.28554856013533,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9998720027306434}",25,0,-39.476833441760085,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.002, 'e': 0.9998380043739528}",30,0,-150.87753836584136,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9998000066665778}",20,14,-32.816628409792365,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.002, 'e': 0.9997580097605092}",20,0,-139.95081050879864,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.002, 'e': 0.9997120138237345}",20,0,-80.37412396553707,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9996620190402377}",25,0,-141.5507835865662,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.002, 'e': 0.9996080256099974}",20,0,-146.08937829502895,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.002, 'e': 0.9995500337489875}",20,0,-109.05976498918871,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9994880436891754}",25,0,-54.14671770776675,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.002, 'e': 0.9994220556785212}",20,8,-5.345685360298029,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.002, 'e': 0.9993520699809768}",20,7,-139.88877472855833,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 3}",1
19,False,"{'a': 0.002, 'e': 0.9992780868764849}",30,0,-133.49963484647725,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.002, 'e': 0.9992001066609779}",30,11,-140.64075461556092,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 2}",1
21,False,"{'a': 0.002, 'e': 0.9991181296463766}",30,0,-132.40759931151692,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
22,False,"{'a': 0.002, 'e': 0.9990321561605888}",30,0,-155.35400402829782,"{0: 17, 1: 9, 2: 1, 3: 0, 4: 3}",0
23,False,"{'a': 0.002, 'e': 0.9989421865475084}",25,0,-107.78459248357657,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",1
24,False,"{'a': 0.002, 'e': 0.9988482211670138}",20,0,-90.07556475616323,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
25,False,"{'a': 0.002, 'e': 0.9987502603949663}",30,0,-260.55342853172607,"{0: 14, 1: 1, 2: 9, 3: 3, 4: 3}",0
26,False,"{'a': 0.002, 'e': 0.9986483046232089}",25,0,-115.69690061698333,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 0.002, 'e': 0.9985423542595644}",30,13,-83.95958088374691,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 1}",1
28,False,"{'a': 0.002, 'e': 0.9984324097278344}",20,0,-134.74560083233564,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
29,False,"{'a': 0.002, 'e': 0.9983184714677966}",25,2,-130.69478832868313,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 2}",1
30,False,"{'a': 0.002, 'e': 0.9982005399352042}",20,0,-24.732361953484766,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.002, 'e': 0.9980786156017829}",20,0,-65.60715107604764,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.002, 'e': 0.99795269895523}",25,0,-88.9933187768381,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 0.002, 'e': 0.9978227904992117}",20,0,-74.553012038578,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
