trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-109.84421146209108,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",30,0,-265.4101616450289,"{0: 20, 1: 0, 2: 2, 3: 3, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",25,0,-62.85474579969976,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': -0.4161468365471424}",20,0,-106.10149718902896,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': -0.8011436155469337}",20,0,-93.38054747203975,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': -0.9899924966004454}",20,0,-54.228313098303836,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': -0.9364566872907963}",25,0,-106.81447184965697,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': -0.6536436208636119}",25,0,-35.75501835739986,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': -0.21079579943077972}",25,0,-52.966042183316446,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.2836621854632263}",20,1,-116.48491371527999,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.70866977429126}",20,0,-100.41632455739422,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9601702866503661}",25,0,-159.34040290965277,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",25,0,-127.83995848489155,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,0,-45.78816310678522,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",30,8,-97.75007842270719,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 1}",1
16,False,"{'a': 0.5, 'e': -0.14550003380861354}",20,0,-128.43470731616094,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': -0.6020119026848236}",20,0,-144.45841181861658,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': -0.9111302618846769}",25,0,-149.9116160844191,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': -0.9971721561963784}",20,0,-57.521343363383615,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -0.8390715290764524}",35,0,-230.77860943336123,"{0: 17, 1: 7, 2: 7, 3: 1, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",30,0,-165.70109909103837,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-110.1361594023581,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-77.57630490042347,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-246.38058420991683,"{0: 12, 1: 2, 2: 5, 3: 2, 4: 4}",0
5,True,"{'a': 0, 'e': 0}",30,0,-176.03063906277637,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,13,-0.7326079294562717,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-118.62726966255983,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-183.33977075371325,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-181.09463596175607,"{0: 12, 1: 1, 2: 1, 3: 3, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",25,0,-142.59500737198263,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
